Index,Artist,title,year,data,Absolute Chords,section,formtype,looptype,MBID,source
337,Fergie ,Big Girls Don't Cry ,2007,|4||1||5||6-||,|CM||GM||DM||Em||,$bb,,Axis-F,ecb89a04-eb82-316f-bf18-5b0204af2869, Park: MusicID Top 200 (2000-2020)
491,Merridith Brooks ,Bitch ,1997,|1||5|6-||4||,|AM||EM||F#m||DM||,"$bb, $fadeout",,Axis-C,bd8c67c9-68e0-3b16-a2b1-3d10f58aee37,Richards
194,Kendrick Lamar,"Bitch, Don't Kill My Vibe",2012,|6- . . 4||||,|Fm . . DbM||||,"$a, $hook",,minor-major Plateau,45ac3df1-50c7-45ac-a78b-6d22d2c37080,"Richards, Peres"
118,Taylor Swift,Blank Space,2014,|1|| 6-|| 4|| 5||,|FM|| Dm|| BbM|| CM||,$a,,Doo-wop,05980852-95f4-4ea2-806a-abf1666951b8,Peres
338,Leona Lewis,Bleeding Love,2007,|1|| 6-|| 4 || 5||,|FM|| Dm|| BbM || CM||,"$a, $In, $PCh, $Ch, $link",,Doo-wop,cbba237c-4bd9-3707-9330-002a888dbbef, Park: MusicID Top 200 (2000-2020)
338,Leona Lewis,Bleeding Love,2007,|6-||4||1||5||,|Dm||BbM||FM||CM||,"$b, $bridge, $PCh_2",,Axis-A,cbba237c-4bd9-3707-9330-002a888dbbef, Park: MusicID Top 200 (2000-2020)
44,Loud Luxury ft. Brando,Body,2017,|4||||6-||1||,|DbM||||Fm||AbM||,"$a, $fadein, $PCh_3",,Plateau: ascending passing loop,8754c509-cbe6-44ae-a82a-589db3a42ac7,Duinker
368,Green Day ,Boulevard of Broken Dreams ,2005,|4|1|5|6-|,|DbM|AbM|EbM|Fm|,$b,,Axis-F,150818a8-0e8b-341b-b457-e25e620f82db,"Richards, Park: MusicID Top 200 (2000-2020)"
255,Taio Cruz feat. Ludacris ,Break Your Heart ,2010,|6- || 4|| 1|| 3-||,|Cm || AbM|| EbM|| Gm||,$b,,Axis-A-sub3-,4538dceb-18ba-4da8-be4c-f8a300874856,Richards
387,Kelly Clarkson ,Breakaway ,2004,| 1 | 5 | 6- | 4 |,| CM | GM |Am | FM|,$b,,Axis-C,2701fa8d-033c-31d5-a65a-4641b1a20455,"Richards, Park: MusicID Top 200 (2000-2020)"
256,The Script ,Breakeven ,2010,|4 . .  1 || 5 . .  6- ||,|EbM . .  BbM || FM . .  Gm ||,$a,,Axis-F,1d433414-d512-4370-bdd6-c58b1e3cc84f,Richards
477,Faith Hill,Breathe,1999,|2- ||5||,| Am || DM||,$turnaround,,Dorian Shuttle,5e406497-3b26-4c2d-8bff-d5bd5d3aeae6, Park: MusicID Top 200 (2000-2020)
403,Evanescence & Paul McCoy,Bring Me To Life,2003,|6- |||| 4 |||| ,|Em|||| CM||||,"$a, $fadeout",,minor-major Plateau,2722996e-ca58-368a-b5e7-0ca622256ea3, Park: MusicID Top 200 (2000-2020)
403,Evanescence & Paul McCoy,Bring Me To Life,2003,|4|| 5|| 6-||||,|CM|| DM|| Em||||,$c,,Plateau: open passing loop,2722996e-ca58-368a-b5e7-0ca622256ea3, Park: MusicID Top 200 (2000-2020)
492,Sarah McLachlan,Building a Mystery,1997,| 6- | 4 | 1 | 5 |,|Bm | GM | DM | AM|,"$a, $link",,Axis-A,4ac49dd4-1c76-398f-bea7-906a37180b7c,"Richards, Nobile"
120,Jason Aldean ,Burnin' It Down ,2014,| 6- | 4 | 1 | 5 |,|Em|CM|GM|DM,"$a, $PCh, $DCh, $Vr_2",,Axis-A,a5b22b59-bc1b-4f83-9e13-847c0e62c180,Richards
45,Flo Rida and 99 Percent,Cake,2017,|4 . . 1|| 5 . .  6- ||,|GM . . DM|| AM . .  Bm ||,$a,,Axis-F,8a66bf18-d30f-41bd-b313-8ee7223a889a,"Adams 2019, Barna 2020"
370,Gavin DeGraw ,Chariot ,2005,| 6- | 4 | 1 | 5 |,|Em|CM|GM|DM|,$a,,Axis-A,fb366a75-1e7f-32b5-99bc-95c7aca3ca84,Richards
58,Sia feat. Sean Paul ,Cheap Thrills ,2016,| 6- | 4 | 1 | 5 |,|F#m|DM|AM|EM|,$a,,Axis-A,7b77da28-cf99-40c9-94a3-16e16363239e,"Richards, Park: MusicID Top 200 (2000-2020)"
223,M83,Claudia Lewis,2011,|4||||5||||,|FM||||GM||||,$a,,Plateau Shuttle,7c1f3ff0-47ca-47f2-8315-650dd2a40291,Duinker
59,The Chainsmokers ft. Halsey,Closer,2016,|4 | . 5 . .  |6- | .  5 . . |,|DM | . EM . . |F#m | .  EM . . |,$a,,Plateau: circular passing loop,84bfb2cc-ba10-44e2-9ddf-59230c087ec8,"Duinker, Park: MusicID Top 200 (2000-2020)"
371,Howie Day ,Collide ,2005,|1 || 5 || 6- || 4 ||,|BM || F#M|| G#m || EM ||,"$a, $link",,Axis-C,852e8a3b-83f7-366c-a9b9-e2dfe56f936d,Richards
198,Kenny Chesney ,Come Over ,2012,| 6- || 4 || 1|| 5 ||,| Bm || GM || DM|| AM ||,"$a, $Ch_a",,Axis-A,17c97827-b4ce-4c92-8c7e-a6291c598472,Richards
419,Avril Lavigne,Complicated,2002,|6-| 4 |1| 5|,|Dm| BbM |FM| CM|,$a,,Axis-A,de630691-2fc7-34f5-b4b1-e6dd5a71fe99," Park: MusicID Top 200 (2000-2020), Richards, De Clercq and Margulis"
419,Avril Lavigne,Complicated,2002,|1|| 6-|| 4||5||,|FM|| Dm|| BbM||CM||,"$b, $link, $Vr_b",,Doo-wop,de630691-2fc7-34f5-b4b1-e6dd5a71fe99," Park: MusicID Top 200 (2000-2020), Richards, De Clercq and Margulis"
152,Daft Punk,Contact,2013,|4 || 5 || ,|GM || AM || ,$a,,Plateau Shuttle,365f55b7-74c5-4cbd-bad0-3c7e246a60bf,Jinny Park: daft punk corpus
152,Daft Punk,Contact,2013,|6-|4|1|5|,|Bm | GM | DM | AM |,$c,,Axis-A,365f55b7-74c5-4cbd-bad0-3c7e246a60bf,Jinny Park: daft punk corpus
76,Demi Lovato,Cool for the Summer,2015,|4 | 2- | 6- | .  5 |,|AbM | Fm | Cm | .  BbM |,$a,,Lydian-Aeolian Four Chords,b6da88c2-f977-4c71-89a3-c8a84035d81c,Peres
123,Echosmith ,Cool Kids ,2014,| 6- | 4 | 1 | 5 |,|Fm|DbM|AbM|EbM|,$a,,Axis-A,3813cffb-067f-4627-9ef9-8eb0716c9bef,Richards
123,Echosmith ,Cool Kids ,2014,| 6- | 4 | 1 | . 5 |,|Fm|DbM|AbM| . EbM|,$aa,,Axis-A,3813cffb-067f-4627-9ef9-8eb0716c9bef,Richards
464,Savage Garden ,Crash and Burn ,2000,| 1 || 5 || 6- || 4 ||,|EM||BM||C#m||AM||,"$a, $link",,Axis-C,6ab1ff1c-df5c-410d-a804-ba6388dbb8c6,Richards
224,Eli Young Band ,Crazy Girl ,2011,| 6- | 4 | 1 | 5 |,|C#m|AM|EM|BM|,$a,,Axis-A,ec4702f3-093b-451b-8ebf-4d8095aca50d,Richards
224,Eli Young Band ,Crazy Girl ,2011,| 6- | 4 | 1 | 3-|,|C#m|AM|EM|G#m|,$a_sub,,Axis-A-sub3-,ec4702f3-093b-451b-8ebf-4d8095aca50d,Richards
224,Eli Young Band ,Crazy Girl ,2011,|4 1 |5|,|AM EM|BM|,$b,,Closed Double Plagal,ec4702f3-093b-451b-8ebf-4d8095aca50d,Richards
224,Eli Young Band ,Crazy Girl ,2011,|2-|5|,|F#m|BM|,$b_cad,,Dorian Shuttle,ec4702f3-093b-451b-8ebf-4d8095aca50d,Richards
224,Eli Young Band ,Crazy Girl ,2011,|4||5||,|AM||BM||,$c,,Plateau Shuttle,ec4702f3-093b-451b-8ebf-4d8095aca50d,Richards
8,Sam Smith & Normami,Dancing With a Stranger,2019,|4| . 5 |6-|1|,|DbM| . EbM |Fm|AbM|,"$a, $In, $PostCh",,Plateau: ascending passing loop,deef617e-cbf0-4bd0-a308-8cba969d3054,"Duinker, Park: MusicID Top 200 (2000-2020)"
155,Maroon 5,Daylight ,2013,|5|6-|4|1|,|AM|Bm|GM|DM|,$c,,Axis-G,72d4ddea-ed19-486d-945f-a19a49e62550,Richards
156,Imagine Dragons ,Demons ,2013,| 1 | 5 | 6- | 4 |,|EM|BM|C#m|AM|,$a,,Axis-C,42462391-3cdb-4af6-8a6c-386021ea6d6c,Richards
46,Luis Fonsi & Daddy Yankee,Despacito,2017,| 6- || 4 || 1 || 5 ||,|Bm||GM||DM||AM||,"$a, $In",,Axis-A,a9b23c53-856d-4e4f-bf43-18fd8e12747f, Park: MusicID Top 200 (2000-2020)
351,The All-American Rejects ,Dirty Little Secret ,2006,| 1 | 5 | 6- | 4 |,|BbM|FM|Gm|EbM|,$b,,Axis-C,448bd3a2-9224-4597-aa20-0eb3c6e05df1,Richards
421,Red Hot Chili Peppers ,Don't Forget Me,2002,| 6- | 4 | 1 | 5 |,|Am|FM|CM|GM|,$a,,Axis-A,190fb0bd-ea7b-3ac5-8b01-82cddc21f73a,Richards
421,Red Hot Chili Peppers ,Don't Forget Me,2002,| 6- | 4 |,|Am|FM|,$ending,,minor-major Plateau,190fb0bd-ea7b-3ac5-8b01-82cddc21f73a,Richards
373,The Pussycat Dolls,Don't Cha,2005,|2-||||6-||||,|Em||||Bm||||,"$a, $Vr, $Ch",,Dorian-Aeolian shuffle,285e7afa-e47f-31d8-bfa4-e8c1e8d3e879, Park: MusicID Top 200 (2000-2020)
61,The Chainsmokers feat. Daya ,Don't Let Me Down ,2016,|4| 1| 5| 6-|,|EM| BM| F#M| G#m|,$a,,Axis-F,fd881e93-c199-4c86-81a7-cabc044948d0,"Richards, Park: MusicID Top 200 (2000-2020)"
61,The Chainsmokers feat. Daya ,Don't Let Me Down ,2016,|6-|||. 4 . . |,|G#m|||. EM . . |,$b,,minor-major Plateau,fd881e93-c199-4c86-81a7-cabc044948d0,"Richards, Park: MusicID Top 200 (2000-2020)"
339,Akon ,Don't Matter ,2007,| 1 | 5 | 6- | 4 |,|BbM|FM|Gm|EbM,$a,,Axis-C,49017150-8a14-45f9-b3a0-038005c485f4,Richards
312,Rihanna,Don't Stop The Music,2008,|4|||| 6-||||,|DM|||| F#m||||,"$a, $Vr, $PCh",,Major-minor Plateau,b7c8631c-6544-32c8-9ef3-529b464602a1, Park: MusicID Top 200 (2000-2020)
