Index,Artist,title,year,data,Absolute Chords,section,formtype,looptype,MBID,source
226,The Script ,For the First Time ,2011,|6-||4||1||5||,|F#m||DM||AM||EM||,$b,,Axis-A,ac48afc8-4f89-458c-a62f-94481b477d26,Richards
391,Eamon ,Fuck It (I Don't Want You Back) ,2004,| 1 || 5 || 6- || 4 ||,|EM||BM||C#m||AM||,"$a, $In, $link",,Axis-C,39247d1c-2fab-4556-801f-bc048c9da259,Richards
227,P!nk ,Fuckin' Perfect ,2011,|1||5||6-||4||,|GM||DM||Em||CM||,$a,,Axis-C,4f0d2236-ca6c-4ca5-bdf4-9321140373fc,Richards
159,"ASAP Rocky feat. Drake, 2 Chainz, and Kendrick Lamar",Fuckin' Problems ,2013,|6-||4||1||5||,|Bm||GM||DM||AM||,"$b, $ending",,Axis-A,ab1afe86-fa65-41ae-a740-05db0539e4c3,Richards
446,P!nk,Get The Party Started,2001,|6-| . 2-|,|Bm| . Em|,$a,,Aeolian-Dorian shuffle,bb67402e-eb3b-3cb9-a533-3138fbba1e70, Park: MusicID Top 200 (2000-2020)
161,Florida Georgia Line ,Get Your Shine On ,2013,| 4 . . 1 || 5 . .  6- ||,|FM . . CM||GM . . Am||,$a,,Axis-F,ccd3d867-bdb3-4155-bc58-c764d67628ee,Richards
83,Little Big Town ,Girl Crush ,2015,| 6- || 4 || 1 || 5 ||,|Am||FM||CM||GM||,$b,,Axis-A,be963eb9-5d88-4589-be57-fa77fcdc10c0,Richards
83,Little Big Town ,Girl Crush ,2015,| 6- | 4 | 1 | 5 |,|Am|FM|CM|GM|,$b_short,,Axis-A,be963eb9-5d88-4589-be57-fa77fcdc10c0,Richards
26,Maroon 5 & Cardi B,Girls Like You,2018,| 1 | 5 | 6- | 4 |,|CM|GM|Am|FM|,"$a, $link, outro",,Axis-C,c4670181-ad3d-4319-b418-8e8907a1bfb0, Park: MusicID Top 200 (2000-2020)
341,Avril Lavigne ,Girlfriend ,2007,| 1 || 5 || 6- || 4 ||,|DM||AM||Bm||GM||,$b,,Axis-C,1ee83047-d5b5-3c0f-81f2-977c6b7c269c,Richards
341,Avril Lavigne ,Girlfriend ,2007,| 1  5 | 6-  4 |,|DM AM|Bm GM|,$b_fast,,Axis-C,1ee83047-d5b5-3c0f-81f2-977c6b7c269c,Richards
229,"Pitbull feat. NeYo, Afrojack, and Nayer ",Give Me Everything ,2011,|6-| . 4 . . |1 | . 5 . . |,|Cm| . AbM . . |EbM | . BbM . . |,$b,,Axis-A,244e0067-7a2f-407f-a5d0-c525c18e3218,Richards
230,Blake Shelton ,God Gave Me You ,2011,| 6- || 4 || 1 || 5 ||,|Bm||GM||DM||AM||,$b,,Axis-A,e05bde75-2286-4af0-b446-0a13472ac9d6,Richards
165,Phillip Phillips ,"Gone, Gone, Gone ",2013,|1||||5||||6-||||4||||,|GM||||DM||||Em||||CM||||,"$a, $Vr",,Axis-C,9e24e6f3-a542-3fe2-90f0-8e87012f2618,Richards
165,Phillip Phillips ,"Gone, Gone, Gone ",2013,|4|1|5||,|CM|GM|DM||,$b,,Closed Double Plagal,9e24e6f3-a542-3fe2-90f0-8e87012f2618,Richards
170,Daft Punk,Instant Crush,2013,|4||2-||6-||5||,|GbM||Ebm||BbM||AbM||,"$a, $In",,Lydian-Aeolian Four Chords,2d3968b0-cdfb-48ab-96ef-79f0c1ce018e,Jinny Park: daft punk corpus
170,Daft Punk,Instant Crush,2013,|6-| 4| 2-| 5|,|Bbm| GbM| Ebm| AbM|,"$b, $fadeout",,Aeolian-Dorian Four Chords,2d3968b0-cdfb-48ab-96ef-79f0c1ce018e,Jinny Park: daft punk corpus
175,Daft Punk,Lose Yourself to Dance,2013,|2-||4||6-||5||,|Ebm||GbM||Bbm||AbM||,"$a, $Vr",,Get Lucky-d,ce5b67ec-d4df-4850-aaf7-81464dd49814,"Peres, Jinny Park: daft punk corpus"
176,Daft Punk,Motherboard,2013,|4|2-|6-|5|,|CM|Am|Em|DM|,$a,,Lydian-Aeolian Four Chords,525d6faf-47dd-4ec1-8468-19b235edc320,Jinny Park: daft punk corpus
183,Daft Punk,Touch,2013,|2-|4|6-|5|,|Bm| DM| F#m| Em|,$a,,Get Lucky-d,91d28a44-98b0-49cc-baa5-1895c6bffe63,Jinny Park: daft punk corpus
188,Daft Punk,Within,2013,|6-| 4| 2-| 5|,|Bbm| GbM| Ebm| AbM|,"$a, $outro",,Aeolian-Dorian Four Chords,d9326c3e-bf51-4532-b8ff-8714752a0cf4,Jinny Park: daft punk corpus
242,Bon Iver,Perth,2011,|4|5|6-||,|AbM|BbM|Cm||,$a,,Plateau: open passing loop,ae903bf2-be5e-42e6-b547-4563c9c7aa6d,Duinker
280,Jónsi,Tornado,2010,|4||6-||,|Fm||AM||,$a,,Major-minor Plateau,7c28f37d-f5b8-3ad0-a3e5-6b02792592f9,Duinker
280,Jónsi,Tornado,2010,|2-|6-|1|5|,|Dm|Am|CM|GM|,$d,,minor and major one-fives,7c28f37d-f5b8-3ad0-a3e5-6b02792592f9,Duinker
52,The Chainsmokers & Coldplay,Something Just Like This,2017,|4|. 5 . . |6-| . 5 . . |,|GM|. AM . . |Bm| . AM . . |,$a,,Plateau: circular passing loop,9c54805f-5b61-4d91-b9f2-b437c96bf05e,"Duinker, Park: MusicID top 200 (2000-2020)"
53,Ásgeir,Stardust,2017,|4 . 5|6- . 1|,|DbM . EbM|Fm . AbM|,$a,,Plateau: ascending passing loop,153477ae-1392-4746-90f7-7524c486471b,Duinker
92,Astrid S,Hurts So Good,2015,|2- . . 6-||1 . . 5||,|Cm . . Gm||BbM . . FM||$b,,,minor and major one-fives,d3c24827-86b2-44f1-a942-5356bfcb8e24,Duinker
93,Justin Bieber,I'll Show You,2015,|4|. 5|6-|. 1|,|FM|. GM|Am|. CM|,$c,,Plateau: ascending passing loop,d0466c85-ad32-4a26-b72f-442d7f708a92,Duinker
93,Justin Bieber,I'll Show You,2015,|4|. 5|6-|. 5|,|FM|. GM|Am|. GM|,$c_cad,,Plateau: circular passing loop,d0466c85-ad32-4a26-b72f-442d7f708a92,Duinker
34,Young Thug & Lil' Uzi Vert,It's a Slime,2018,|4 . . 5| . 6- . . |,|#FM . . #GM| . #Am . . |,$a,,Plateau: open passing loop,ffe97212-aab7-47d2-a7e1-581d4b3c11dd,Duinker
102,Taylor Swift,Out of the Woods,2015,| 1 || 5 || 6- || 4 ||,|CM||GM||Am||FM||,"$a, $Ch",,Axis-C,1e459e1f-65f0-4e88-94a5-e7c530b11dc9,Peres
137,Ariana Grande featuring Iggy Azalea,Problem,2014,|4 . . 5|6-|,|FM . . GM|Am|,$b,,Plateau: open passing loop,2078d63c-69ad-4696-8e04-82ef6735a669,Peres
179,Lorde,Royals,2013,|5||4|1|,|DM||CM|GM|,$b,,Double Plagal,b44e94f0-c5c7-4805-a593-c7d9fa696d71,Peres
135,Ed Sheeran ,Photograph ,2014,| 6- | 4 | 1 | 5 |,|C#m|AM|EM|BM|,$b,,Axis-A,0f7b4fc9-1061-4e9b-bf8c-5e0726e3ad44,Richards
135,Ed Sheeran ,Photograph ,2014,|1||5||6-||4||,|EM||BM||C#m||AM||,"$c, $ending",,Axis-C,0f7b4fc9-1061-4e9b-bf8c-5e0726e3ad44,Richards
135,Ed Sheeran ,Photograph ,2014,| 6- || 4 || 1 || 5 ||,|C#m||AM||EM||BM||,$bridge,,Axis-A,0f7b4fc9-1061-4e9b-bf8c-5e0726e3ad44,Richards
