B7sus2,"11, 1, 3, 6, 9"
Bdim/D,"11, 2, 5"
Bdim,"11, 2, 5"
Bmadd9,"11, 2, 5, 0"
Bm7add11,"11, 2, 5, 4"
Bdim7,"11, 2, 5, 8"
Bm7-5,"11, 2, 5, 9"
Bm7b5,"11, 2, 5, 9"
B-,"11, 2, 6"
Bm,"11, 2, 6"
Bm/D,"11, 2, 6"
Bm/F#,"11, 2, 6"
B2,"11, 2, 6"
Bsus2,"11, 2, 6"
Hm,"11, 2, 6"
Bm9/D,"11, 2, 6, 1"
Bm9,"11, 2, 6, 1"
Bm11,"11, 2, 6, 4"
Bmadd11,"11, 2, 6, 4"
Bmadd6,"11, 2, 6, 8"
Bm6,"11, 2, 6, 8"
Bm/Ab,"11, 2, 6, 8"
Bm/G#,"11, 2, 6, 8"
Bm/A,"11, 2, 6, 9"
Bm7,"11, 2, 6, 9"
Bm7/A,"11, 2, 6, 9"
B-5,"11, 3, 5"
B7-5,"11, 3, 5, 9"
B,"11, 3, 6"
B/Eb,"11, 3, 6"
B/D#,"11, 3, 6"
B/F#,"11, 3, 6"
Cb/Gb,"11, 3, 6"
H,"11, 3, 6"
B/C,"11, 3, 6, 0"
B9,"11, 3, 6, 1"
Badd9,"11, 3, 6, 1"
B11,"11, 3, 6, 4"
Badd11,"11, 3, 6, 4"
B/A,"11, 3, 6, 9"
B7/D#,"11, 3, 6, 9"
B7/A,"11, 3, 6, 9"
B7/F#,"11, 3, 6, 9"
B7,"11, 3, 6, 9"
Bmaj7,"11, 3, 6, 9"
B+,"11, 3, 7"
Baug,"11, 3, 7"
B7+,"11, 3, 7, 9"
B7+5,"11, 3, 7, 9"
Bsus,"11, 4, 6"
Badd4,"11, 4, 6"
Bsus4/F#,"11, 4, 6"
Bsus4,"11, 4, 6"
B7sus4,"11, 4, 6, 9"
B5,"11, 6"
B5/F#,"11, 6"
Dsus2/F#,"2, 4, 6, 7"
Dsus2,"2, 4, 7"
Dsus2/C#,"2, 4, 7, 1"
D6sus2,"2, 4, 7, 9"
D2,"2, 4, 9"
Dadd2,"2, 4, 9"
D7sus2,"2, 4, 9, 0"
Dsus2/Bb,"2, 4, 9, 10"
D-,"2, 5, 8"
Ddim/F,"2, 5, 8"
Ddim,"2, 5, 8"
Dm7b5,"2, 5, 8, 0"
Ddim7,"2, 5, 8, 11"
Dm,"2, 5, 9"
Dm/A,"2, 5, 9"
Dm/F,"2, 5, 9"
Dm6/F,"2, 5, 9"
Dmin,"2, 5, 9"
Dm/C,"2, 5, 9, 0"
Dm7,"2, 5, 9, 0"
Dm7/A,"2, 5, 9, 0"
Dm7/C,"2, 5, 9, 0"
Dm7/F,"2, 5, 9, 0"
Dm7/G,"2, 5, 9, 0, 7"
DmM7,"2, 5, 9, 1"
Dmmaj7,"2, 5, 9, 1"
Dm/B,"2, 5, 9, 11"
Dm6,"2, 5, 9, 11"
Dm6add9/A,"2, 5, 9, 11, 4"
Dm6add9,"2, 5, 9, 11, 4"
Dm9,"2, 5, 9, 4"
Dm/G,"2, 5, 9, 7"
Dmsus4,"2, 5, 9, 7"
D+,"2, 6, 10"
Daug,"2, 6, 10"
D,"2, 6, 9"
D/A,"2, 6, 9"
D/F#,"2, 6, 9"
DM,"2, 6, 9"
Dmaj,"2, 6, 9"
D/C,"2, 6, 9, 0"
D7,"2, 6, 9, 0"
D7/A,"2, 6, 9, 0"
D7/F#,"2, 6, 9, 0"
DM7,"2, 6, 9, 0"
Dmaj7/D,"2, 6, 9, 0"
Dmaj7/F#,"2, 6, 9, 0"
D(maj7),"2, 6, 9, 0"
Dmaj7,"2, 6, 9, 0"
D/C#,"2, 6, 9, 1"
D/Db,"2, 6, 9, 1"
D#m7-5,"2, 6, 9, 1"
D/A#,"2, 6, 9, 10"
D/B,"2, 6, 9, 11"
D/E,"2, 6, 9, 11"
Dmaj13,"2, 6, 9, 11"
D13,"2, 6, 9, 11"
D6,"2, 6, 9, 11"
D6add9,"2, 6, 9, 11, 4"
D6/9,"2, 6, 9, 11, 4"
D6add9/A,"2, 6, 9, 11, 4"
D6/G,"2, 6, 9, 11, 7"
D(add9),"2, 6, 9, 4"
D9,"2, 6, 9, 4"
Dadd9,"2, 6, 9, 4"
Dadd9/F#,"2, 6, 9, 4"
D/F,"2, 6, 9, 5"
Dmaj9/F#,"2, 6, 9, 5"
Dmaj9,"2, 6, 9, 5"
Dmaj9/F,"2, 6, 9, 5, 7"
D/G,"2, 6, 9, 7"
Dadd11,"2, 6, 9, 7"
D4,"2, 7, 9"
Dadd4,"2, 7, 9"
Dadd4/G,"2, 7, 9"
Ds4,"2, 7, 9"
Dsus/D,"2, 7, 9"
Dsus,"2, 7, 9"
Dsus4,"2, 7, 9"
Dsus4/A,"2, 7, 9"
D7,"2, 6, 9, 0"
D7sus,"2, 7, 9, 0"
D7sus4,"2, 7, 9, 0"
Dsus4/B,"2, 7, 9, 11"
D9sus,"2, 7, 9, 4"
Dsus/F#,"2, 7, 9, 6"
Dsus4/F#,"2, 7, 9, 6"
D5,"2, 9"
D5/A,"2, 9"
D#5,"3, 10"
Eb5/A#,"3, 10"
Eb5,"3, 10"
Ebsus2,"3, 5, 10"
D#dim,"3, 6, 10"
D#m,"3, 6, 10"
D#o,"3, 6, 10"
Ebm,"3, 6, 10"
Ebm/Gb,"3, 6, 10"
D#m6,"3, 6, 10, 0"
D#m7,"3, 6, 10, 1"
Eb7(b5),"3, 6, 10, 1"
Ebm7,"3, 6, 10, 1"
Ebmadd9,"3, 6, 10, 5"
Ebm7/Ab,"3, 6, 10, 8"
Ebdim,"3, 6, 9"
D#dim7,"3, 6, 9, 0"
D#,"3, 7, 10"
D#/A#,"3, 7, 10"
D#/G,"3, 7, 10"
Ebmaj,"3, 7, 10"
EbMaj,"3, 7, 10"
Eb,"3, 7, 10"
Eb/Bb,"3, 7, 10"
Eb/G,"3, 7, 10"
Eb6,"3, 7, 10, 0"
D#/C#,"3, 7, 10, 1"
D#M7,"3, 7, 10, 1"
D#7,"3, 7, 10, 1"
EbM7,"3, 7, 10, 1"
Eb7,"3, 7, 10, 1"
Ebmaj7,"3, 7, 10, 1"
D#/B,"3, 7, 10, 11"
Eb/F,"3, 7, 10, 5"
Eb9,"3, 7, 10, 5"
D#+,"3, 7, 11"
Eb/B,"3, 7, 11"
Eb+,"3, 7, 11"
Eb+/B,"3, 7, 11"
E5b,"4, 10"
E5/B,"4, 11"
E5,"4, 11"
E5/D,"4, 11, 2"
E5/Eb,"4, 11, 3"
E4,"4, 11, 9"
E5/A,"4, 11, 9"
E2,"4, 6, 11"
Esus2,"4, 6, 11"
Eo,"4, 7, 10"
Edim,"4, 7, 10"
Edim7,"4, 7, 10, 1"
E-,"4, 7, 11"
Em,"4, 7, 11"
Em/B,"4, 7, 11"
Em/G,"4, 7, 11"
