bigram Result
"('C', 'G')",1284
"('G', 'D')",1011
"('G', 'C')",792
"('F', 'C')",739
"('D', 'G')",714
"('D', 'A')",465
"('Em', 'C')",428
"('C', 'D')",425
"('G', 'Am')",424
"('G', 'F')",393
"('Am', 'G')",382
"('Am', 'F')",365
"('D', 'Em')",358
"('Em', 'D')",335
"('Am', 'C')",329
"('D', 'C')",321
"('C', 'F')",320
"('F', 'G')",315
"('A', 'D')",299
"('C', 'Em')",288
"('G', 'Em')",277
"('C', 'Am')",274
"('G', 'G')",272
"('A', 'E')",234
"('G', 'A')",209
"('C', 'C')",198
"('Bm', 'G')",196
"('D', 'D')",166
"('F', 'Am')",161
"('Em', 'G')",155
"('A', 'Bm')",148
"('D', 'Am')",147
"('A', 'A')",147
"('A', 'G')",142
"('Em', 'Am')",140
"('G', 'Bm')",137
"('Cadd9', 'G')",134
"('E', 'A')",129
"('C', 'Dm')",127
"('E', 'E')",111
"('Dm', 'C')",100
"('E', 'D')",97
"('Am', 'Em')",95
"('F', 'Dm')",95
"('Bm', 'D')",92
"('E', 'B')",89
"('Bm', 'C')",86
"('D7', 'G')",86
"('Dm', 'G')",86
"('Em', 'Bm')",84
"('D', 'E')",84
"('Em', 'Em')",82
"('Em', 'A')",81
"('G', 'Dm')",81
"('E', 'Am')",78
"('B', 'E')",78
"('G', 'D/F#')",75
"('Dm', 'Am')",75
"('Am', 'D')",73
"('D', 'Bm')",69
"('A', 'C')",69
"('G', 'Cadd9')",67
"('D', 'F')",67
"('E', 'F#m')",67
"('C', 'G/B')",67
"('Bb', 'C')",67
"('Am', 'Dm')",66
"('Am', 'D7')",64
"('A', 'Em')",63
"('Bm', 'A')",63
"('Am', 'Am')",62
"('Bb', 'F')",62
"('B', 'Em')",62
"('C', 'C/B')",60
"('E7', 'E7')",58
"('D', 'Dsus2')",57
"('C', 'Bb')",57
"('F#m', 'Bm')",56
"('F', 'F')",55
"('D', 'F#m')",55
"('A', 'B')",54
"('Bm', 'Em')",53
"('A7', 'D')",52
"('F#m', 'E')",51
"('Dm7', 'G')",49
"('Em', 'F')",49
"('AM', 'F')",49
"('G7', 'C')",48
"('Fmaj7', 'Am')",48
"('Dsus2', 'D')",48
"('Dm', 'F')",48
"('G', 'AM')",48
"('D', 'Cadd9')",47
"('C#m', 'A')",46
"('E', 'Bm')",45
"('F', 'D')",45
"('C', 'Dm7')",45
"('Go', 'Go')",44
"('C', 'C7')",43
"('C7', 'F')",43
"('C', 'A')",42
"('B', 'C#m')",42
"('F', 'E')",42
"('E', 'C#m')",42
"('C/B', 'Am')",42
"('A', 'F#m')",41
"('Am', 'E')",40
"('D', 'Dsus4')",40
"('D', 'G/B')",40
"('C/G', 'G')",40
"('B', 'F#m')",39
"('Dm', 'Bb')",39
"('D', 'Cmaj7')",39
"('C', 'Fmaj7')",38
"('D/F#', 'Em')",37
"('A', 'Am')",37
"('F#m', 'Em')",37
"('G', 'Bb')",37
"('Dsus4', 'D')",36
"('E7', 'A')",36
"('B7', 'Em')",36
"('C#m', 'D')",36
"('Cmaj7', 'G')",36
"('Am', 'Am7')",35
"('F', 'Bb')",35
"('G/B', 'A')",34
"('A', 'C#m')",34
"('Am7', 'C')",33
"('G/B', 'C')",33
"('C#m7', 'Aadd9')",33
"('D', 'Dsus')",33
"('Dsus', 'Dsus')",33
"('Dsus', 'D')",33
"('D', 'Asus')",33
"('C', 'E7')",32
"('A', 'Asus4')",32
"('Asus', 'D')",32
"('E7', 'Am')",31
"('C', 'Cmaj7')",31
"('C', 'E')",30
"('Cm', 'G')",30
"('Em7', 'C')",30
"('G', 'B')",30
"('Aadd9', 'E')",30
"('E', 'C')",29
"('D', 'B')",29
"('Am', 'B')",28
"('E', 'G')",28
"('G', 'C/G')",28
"('D/F#', 'G')",27
"('F#m', 'D')",27
"('D/F#', 'C')",27
"('F#m', 'A')",27
"('E', 'C#m7')",27
"('G', 'Am7')",26
"('C', 'Bm')",26
"('G#m', 'A')",26
"('Fmaj7', 'C')",26
"('Asus2', 'E')",25
"('D', 'D7')",25
"('F', 'Em')",24
"('G', 'B7')",24
"('E', 'Asus2')",24
"('G#', 'A')",24
"('Dm', 'E')",24
"('Dsus4', 'Cadd9')",24
"('C/E', 'F')",23
"('E/B', 'B')",23
"('Bm', 'Am')",23
